ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"192.168.1.2","192.168.1.5","84","1","0",,,,"64","1",,,,,,,,,,,,,"50.656487000","1.368428000",,
"192.168.1.5","192.168.1.2","84","0","0",,,,"128","1",,,,,,,,,,,,,"50.660114000","0.003627000",,
"192.168.1.2","192.168.1.6","84","1","0",,,,"64","1",,,,,,,,,,,,,"50.662405000","0.002291000",,
"192.168.1.6","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"50.686945000","0.024540000",,
,,,,,,,,,,,,,,,,,,,,,,"51.418134000","0.731189000",,
"192.168.1.2","192.168.1.6","84","1","0",,,,"64","1",,,,,,,,,,,,,"52.662938000","1.244804000",,
"192.168.1.6","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"52.672141000","0.009203000",,
"192.168.1.2","192.168.1.1","84","1","0",,,,"64","1",,,,,,,,,,,,,"52.673681000","0.001540000",,
"192.168.1.1","192.168.1.2","84","1","0",,,,"255","1",,,,,,,,,,,,,"52.687742000","0.014061000",,
,,,,,,,,,,,,,,,,,,,,,,"53.576377000","0.888635000",,
"192.168.1.2","192.168.1.1","84","1","0",,,,"64","1",,,,,,,,,,,,,"54.674129000","1.097752000",,
"192.168.1.1","192.168.1.2","84","1","0",,,,"255","1",,,,,,,,,,,,,"54.694684000","0.020555000",,
,,,,,,,,,,,,,,,,,,,,,,"55.685988000","0.991304000",,
"192.168.1.2","192.168.1.4","84","1","0",,,,"64","1",,,,,,,,,,,,,"56.699960000","1.013972000",,
"192.168.1.4","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"56.715588000","0.015628000",,
,,,,,,,,,,,,,,,,,,,,,,"57.864873000","1.149285000",,
"192.168.1.2","192.168.1.4","84","1","0",,,,"64","1",,,,,,,,,,,,,"58.701208000","0.836335000",,
"192.168.1.4","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"58.714231000","0.013023000",,
"192.168.1.2","192.168.1.3","84","1","0",,,,"64","1",,,,,,,,,,,,,"58.715466000","0.001235000",,
"192.168.1.3","192.168.1.2","84","0","0",,,,"128","1",,,,,,,,,,,,,"58.724628000","0.009162000",,
,,,,,,,,,,,,,,,,,,,,,,"59.989124000","1.264496000",,
"192.168.1.2","192.168.1.3","84","1","0",,,,"64","1",,,,,,,,,,,,,"60.715983000","0.726859000",,
"192.168.1.3","192.168.1.2","84","0","0",,,,"128","1",,,,,,,,,,,,,"60.722554000","0.006571000",,
"192.168.1.2","192.168.1.1","84","1","0",,,,"64","1",,,,,,,,,,,,,"60.725905000","0.003351000",,
"192.168.1.1","192.168.1.2","84","1","0",,,,"255","1",,,,,,,,,,,,,"60.752786000","0.026881000",,
,,,,,,,,,,,,,,,,,,,,,,"62.121079000","1.368293000",,
