ip.src,ip.dst,eth.addr,eth.dst,frame.time_relative,frame.time_delta
1362221829,2879096411,3203683484243,3203683484243,0.511137,0.007795
2538847014,414588253,139565758238187,139565758238187,0.51174,0.000603
1956118600,2890530053,129697766669214,129697766669214,0.514178,0.002438
540948008,2501508984,75763817885387,75763817885387,0.516474,0.002296
2570920486,1217322601,194863257869560,194863257869560,0.527946,0.011472
1643033607,1032861721,222063622177187,222063622177187,0.533246,0.0053
81785912,549134638,540813904174,540813904174,0.534835,0.001589
1081584931,2214834545,259233728382156,259233728382156,0.535348,0.000513
2377775731,2661329456,67838826544185,67838826544185,0.541994,0.006646
1113379911,3558009352,228921577535379,228921577535379,0.544086,0.002092
4170797943,365200511,234526007327503,234526007327503,0.548842,0.004756
1812735240,1671115085,236262767821364,236262767821364,0.549243,0.000401
1089194561,3368735351,147811269067442,147811269067442,0.549733,0.00049
784588401,3785329531,256208623897561,256208623897561,0.550385,0.000652
767084870,3053335160,81303956394533,81303956394533,0.550909,0.000524
1833090573,186630974,223424072711755,223424072711755,0.557004,0.006095
3315546225,3353739306,168376177059565,168376177059565,0.559682,0.002678
505969970,3249480212,163790059289751,163790059289751,0.56486,0.005178
2730064648,400559114,187592603382960,187592603382960,0.565288,0.000428
4010053205,1177141045,142427663145954,142427663145954,0.565419,0.000131
2585080387,1029263476,34298858124835,34298858124835,0.565741,0.000322
2472501767,1962707563,231181167852157,231181167852157,0.566396,0.000655
3450824306,1897337376,143016040502745,143016040502745,0.56812,0.001724
633056609,3734356553,75318962844614,75318962844614,0.576954,0.008834
2461596526,488270413,151432078987353,151432078987353,0.578741,0.001787
2547027057,3758764625,21284974928604,21284974928604,0.579609,0.000868
818507330,2445105160,118758717184326,118758717184326,0.580921,0.001312
1447411729,842693636,176478060118250,176478060118250,0.581636,0.000715
2663415145,801409557,168173691456076,168173691456076,0.589056,0.00742
1513487653,1180765194,24844729569942,24844729569942,0.590455,0.001399
869871622,3480969855,133275560312709,133275560312709,0.591945,0.00149
3957039383,3447279888,52475157941240,52475157941240,0.593075,0.00113
1849852170,1445511021,277020043355542,277020043355542,0.593467,0.000392
690396518,2072360795,78806313688180,78806313688180,0.599863,0.006396
1520616776,2873100893,210437966988100,210437966988100,0.600358,0.000495
1380279362,3076052800,80360284545821,80360284545821,0.602273,0.001915
3823498273,2853356364,141751728105624,141751728105624,0.602962,0.000689
1973972784,905263477,240047671276196,240047671276196,0.610718,0.007756
3031804018,1672358727,19146008176778,19146008176778,0.613068,0.00235
1611194661,177683051,43642325162746,43642325162746,0.613361,0.000293
764885250,973191031,216982943655091,216982943655091,0.613895,0.000534
3105484621,4096592970,70885806943814,70885806943814,0.614366,0.000471
2488914205,1363821621,265263137143916,265263137143916,0.619875,0.005509
2202691908,2498687495,113626463986940,113626463986940,0.620418,0.000543
338626115,67564116,83477018414401,83477018414401,0.620891,0.000473
2541865795,3993626231,99712302196539,99712302196539,0.626662,0.005771
2780928619,2811099966,38773127262202,38773127262202,0.63426,0.007598
2163038783,404405062,5410383933868,5410383933868,0.6404,0.00614
2650638390,2699617570,10338428763134,10338428763134,0.647927,0.007527
2998302240,4220039976,94313593554574,94313593554574,0.648475,0.000548
512342832,605606228,180502276728697,180502276728697,0.64949,0.001015
1628767793,3986759029,88667791991540,88667791991540,0.650991,0.001501
1142194513,3934800747,61378644310303,61378644310303,0.660415,0.009424
1995093078,1861943154,88447406708054,88447406708054,0.66193,0.001515
1480538898,299329869,194344638001384,194344638001384,0.662898,0.000968
2841660485,1464079742,21099365325870,21099365325870,0.667736,0.004838
2740455447,1438531881,246099685317840,246099685317840,0.668023,0.000287
1023000184,1231468340,264048082039335,264048082039335,0.668322,0.000299
3136073280,4018774361,77143334979668,77143334979668,0.668888,0.000566
282083960,279921012,120217097014870,120217097014870,0.670737,0.001849
2371144305,2708129873,110436650927932,110436650927932,0.674188,0.003451
2520511293,738381933,124335564898054,124335564898054,0.675018,0.00083
2046275406,3715246354,226099528840541,226099528840541,0.679117,0.004099
1039551044,3584734481,79538149089551,79538149089551,0.68477,0.005653
4226708783,1853261602,237746109311128,237746109311128,0.686933,0.002163
707956606,3763093042,113617158762890,113617158762890,0.688022,0.001089
472982822,405704485,241030416892415,241030416892415,0.688289,0.000267
362062143,3246882360,218356272161468,218356272161468,0.696549,0.00826
3831974969,3810207590,204412918688861,204412918688861,0.698589,0.00204
376866117,3479784213,197053744391908,197053744391908,0.701656,0.003067
1830490464,70895475,263488277845283,263488277845283,0.703204,0.001548
689610865,2112407419,168777102816416,168777102816416,0.709706,0.006502
571275832,3478171261,204346628810608,204346628810608,0.717521,0.007815
1038795903,3999110510,142122683352436,142122683352436,0.723574,0.006053
589680743,3434729769,178804609302972,178804609302972,0.735865,0.012291
2176870213,831214672,17039646760472,17039646760472,0.736345,0.00048
1676935796,1315005308,19205457746264,19205457746264,0.737186,0.000841
417881721,332519274,263517836100235,263517836100235,0.74337,0.006184
2656639280,2709904208,36032410802894,36032410802894,0.745788,0.002418
2808459078,2139052128,30285247563537,30285247563537,0.746161,0.000373
2148957969,3798289466,222642200175554,222642200175554,0.746694,0.000533
4183686731,834980640,162086469551778,162086469551778,0.75325,0.006556
537431932,277900597,115632304429391,115632304429391,0.760153,0.006903
