ip.src,ip.dst,eth.addr,eth.dst,frame.time_relative,frame.time_delta,label
2687275375,1731177769,180197910440135,180197910440135,0.826603,0.003092,Abnormal_Traffic
2680471620,174239834,261840534503255,261840534503255,0.827052,0.000449,Abnormal_Traffic
3251127643,1822490649,138749459162658,138749459162658,0.83977,0.012718,Abnormal_Traffic
1029835787,2412424199,262358531862094,262358531862094,0.840474,0.000704,Abnormal_Traffic
386916157,1596392726,211528285536487,211528285536487,0.848031,0.007557,Abnormal_Traffic
2032594017,3281002801,1962184891432,1962184891432,0.84998,0.001949,Abnormal_Traffic
3082685202,1063489632,2205538449429,2205538449429,0.852853,0.002873,Abnormal_Traffic
4194427715,195746349,268946480544635,268946480544635,0.85595,0.003097,Abnormal_Traffic
757828142,2632258587,39303920571531,39303920571531,0.856975,0.001025,Abnormal_Traffic
1912108885,2310924650,231992077069380,231992077069380,0.860741,0.003766,Abnormal_Traffic
1438962975,3138061127,212244935935447,212244935935447,0.861139,0.000398,Abnormal_Traffic
2457882421,3246447404,163094160368808,163094160368808,0.861415,0.000276,Abnormal_Traffic
1496159854,2740539693,55395839583792,55395839583792,0.862392,0.000977,Abnormal_Traffic
717030179,1826979680,25433357717727,25433357717727,0.871772,0.00938,Abnormal_Traffic
3663518302,1901159294,246084769777541,246084769777541,0.87222,0.000448,Abnormal_Traffic
2211645704,3832090919,153091881627550,153091881627550,0.875998,0.003778,Abnormal_Traffic
3606072182,1554181929,55963071953039,55963071953039,0.87817,0.002172,Abnormal_Traffic
3594172759,1161501516,118602307848482,118602307848482,0.895888,0.017718,Abnormal_Traffic
1252570184,3170944075,63968072957399,63968072957399,0.896538,0.00065,Abnormal_Traffic
3116998003,3477387335,274136694912869,274136694912869,0.896908,0.00037,Abnormal_Traffic
153587242,94124817,50996331513110,50996331513110,0.898122,0.001214,Abnormal_Traffic
3279431221,703395168,245479947941754,245479947941754,0.911097,0.012975,Abnormal_Traffic
3640326728,3539960371,27723565045466,27723565045466,0.912002,0.000905,Abnormal_Traffic
2611057669,4274388550,268961322922270,268961322922270,0.91402,0.002018,Abnormal_Traffic
3931357953,1034239773,134329823414059,134329823414059,0.923864,0.009844,Abnormal_Traffic
2496433691,3642572128,1250944336730,1250944336730,0.925262,0.001398,Abnormal_Traffic
1261114219,3230467454,41697429470486,41697429470486,0.925618,0.000356,Abnormal_Traffic
1577839935,428504603,51911979518261,51911979518261,0.928391,0.002773,Abnormal_Traffic
70449743,865738029,174605688987098,174605688987098,0.935973,0.007582,Abnormal_Traffic
474352450,4045732917,183592274270408,183592274270408,0.936971,0.000998,Abnormal_Traffic
2690800688,3276326471,111316308570224,111316308570224,0.937252,0.000281,Abnormal_Traffic
2436178201,1689356880,106100993036731,106100993036731,0.937677,0.000425,Abnormal_Traffic
2904159780,2900318514,158988120381368,158988120381368,0.94013,0.002453,Abnormal_Traffic
