ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","6","0","0x0018",,,,,,"48.327018000","0.006833000","0.012689000","0.006833000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","6","0","0x0010","0.001953000",,,,,"48.328971000","0.001953000","0.014642000","0.001953000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","6","0","0x0011",,,,,,"48.329948000","0.000977000","0.015619000","0.000977000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","6","0","0x0011","0.000974000",,,,,"48.330922000","0.000974000","0.016593000","0.000974000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","6","0","0x0010","0.001953000",,,,,"48.332875000","0.001953000","0.018546000","0.001953000"
,,,,,,,,,,,,,,,,,,,,,,"52.085600000","3.752725000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","7","0","0x0002",,,,,,"53.335622000","1.250022000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","7","0","0x0012","0.000977000",,,,,"53.336599000","0.000977000","0.000977000","0.000977000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","7","0","0x0010","0.001988000",,,,,"53.338587000","0.001988000","0.002965000","0.001988000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","7","0","0x0018",,,,"1",,"53.339547000","0.000960000","0.003925000","0.000960000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","7","0","0x0010","0.000955000",,,,,"53.340502000","0.000955000","0.004880000","0.000955000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","7","0","0x0018",,,,,,"53.349287000","0.008785000","0.013665000","0.008785000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","7","0","0x0010","0.002929000",,,,,"53.352216000","0.002929000","0.016594000","0.002929000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","7","0","0x0011",,,,,,"53.353189000","0.000973000","0.017567000","0.000973000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","7","0","0x0011","0.000980000",,,,,"53.354169000","0.000980000","0.018547000","0.000980000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","7","0","0x0010","0.001951000",,,,,"53.356120000","0.001951000","0.020498000","0.001951000"
,,,,,,,,,,,,,,,,,,,,,,"56.849179000","3.493059000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","8","0","0x0002",,,,,,"58.366130000","1.516951000","0.000000000","0.000000000"
