ip.src,ip.dst,ip.len,ip.flags.df,ip.ttl,ip.proto,frame.time_relative,frame.time_delta,label
3232235777,3232235778,56.0,0.0,255.0,1.0,49.231326,0.02268,DHCP_Spoofing
3232235778,3232235777,62.0,0.0,128.0,17.0,49.244149,0.012823,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.270812,0.026663,DHCP_Spoofing
3232235778,3232235777,62.0,0.0,128.0,17.0,49.273293,0.002481,DHCP_Spoofing
3232235778,3232236031,96.0,0.0,128.0,17.0,49.275288,0.001995,DHCP_Spoofing
3232235778,3232235777,62.0,0.0,128.0,17.0,49.29283,0.017542,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.303979,0.011149,DHCP_Spoofing
3232235778,3232235777,62.0,0.0,128.0,17.0,49.315355,0.011376,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.337405,0.02205,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.339049,0.001644,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,49.341726,0.002677,DHCP_Spoofing
3232235778,3232236031,96.0,0.0,128.0,17.0,49.354573,0.012847,DHCP_Spoofing
3232235778,3232236031,96.0,0.0,128.0,17.0,49.355274,0.000701,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,49.375243,0.019969,DHCP_Spoofing
3232235778,3232235777,62.0,0.0,128.0,17.0,49.375655,0.000412,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.400215,0.02456,DHCP_Spoofing
3232235778,3232235777,62.0,0.0,128.0,17.0,49.424478,0.024263,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.450717,0.026239,DHCP_Spoofing
3232235778,3232235777,62.0,0.0,128.0,17.0,49.470867,0.02015,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.491884,0.021017,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,49.50748,0.015596,DHCP_Spoofing
3232235778,3232235777,62.0,0.0,128.0,17.0,49.569098,0.061618,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.584132,0.015034,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,49.604282,0.02015,DHCP_Spoofing
3232235778,3232236031,96.0,0.0,128.0,17.0,50.042028,0.437746,DHCP_Spoofing
3232235778,3232236031,96.0,0.0,128.0,17.0,50.13458,0.092552,DHCP_Spoofing
3232235778,3232236031,96.0,0.0,128.0,17.0,50.142287,0.007707,DHCP_Spoofing
3232235778,3232235777,77.0,0.0,128.0,17.0,50.600411,0.458124,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,50.61153,0.011119,DHCP_Spoofing
3232235778,3232235777,62.0,0.0,128.0,17.0,50.624718,0.013188,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,50.627403,0.002685,DHCP_Spoofing
3232235778,3232235777,77.0,0.0,128.0,17.0,50.627761,0.000358,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,50.658183,0.030422,DHCP_Spoofing
