ip.src,ip.dst,ip.len,ip.flags.df,ip.ttl,ip.proto,frame.time_relative,frame.time_delta,label
3232235778,3232235779,84.0,0.0,64.0,1.0,9.153472,0.005225,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.154453,0.000981,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.156255,0.001802,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.165213,0.008958,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.167312,0.002099,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.173177,0.005865,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.175356,0.002179,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.182325,0.006969,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.183407,0.001082,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.19057,0.007163,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.192363,0.001793,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.1994,0.007037,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.200852,0.001452,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.205786,0.004934,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.207228,0.001442,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.21448,0.007252,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.216248,0.001768,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.221454,0.005206,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.222246,0.000792,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.232419,0.010173,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.237364,0.004945,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.239203,0.001839,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.242768,0.003565,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.251296,0.008528,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.253323,0.002027,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.263798,0.010475,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.266222,0.002424,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.275837,0.009615,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.281731,0.005894,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.282653,0.000922,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.284342,0.001689,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.290101,0.005759,Abnormal_Traffic
