ip.src,ip.dst,ip.len,ip.flags.df,ip.ttl,ip.proto,udp.port,frame.time_relative,frame.time_delta,label
3232235777,3232235779,56,0,255,1,60234,9.152363,0.022023,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,60234,9.152817,0.000454,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,60234,9.171817,0.019,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,60234,9.172493,0.000676,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,60234,9.187961,0.015468,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,60234,9.188411,0.00045,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,60234,9.202139,0.013728,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,64214,9.218248,0.016109,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,64214,9.233375,0.015127,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,64214,9.233893,0.000518,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,64214,9.250044,0.016151,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,64214,9.250646,0.000602,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,64214,9.263396,0.01275,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,64214,9.263825,0.000429,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,64214,9.286804,0.022979,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,64214,9.287407,0.000603,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,64214,9.299138,0.011731,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,56510,9.302778,0.00364,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,56510,9.325915,0.023137,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,56510,9.326603,0.000688,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,56510,9.340856,0.014253,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,56510,9.341276,0.00042,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,56510,9.364636,0.02336,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,56510,9.365058,0.000422,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,56510,9.383838,0.01878,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,56510,9.384332,0.000494,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,56510,9.404062,0.01973,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,61918,9.553183,0.149121,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,61918,9.572709,0.019526,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,61918,9.575337,0.002628,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,61918,9.588471,0.013134,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,61918,9.595372,0.006901,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,61918,9.622779,0.027407,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,61918,9.625496,0.002717,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,61918,9.637437,0.011941,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,61918,9.638377,0.00094,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,61918,9.673378,0.035001,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53541,9.681989,0.008611,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53541,9.702154,0.020165,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53541,9.704307,0.002153,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53541,9.727627,0.02332,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53541,9.730193,0.002566,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53541,9.752947,0.022754,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53541,9.754234,0.001287,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53541,9.776997,0.022763,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53541,9.779621,0.002624,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53541,9.796336,0.016715,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,61092,9.808876,0.01254,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,61092,9.821363,0.012487,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,61092,9.824282,0.002919,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,61092,9.846276,0.021994,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,61092,9.847103,0.000827,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,61092,9.863237,0.016134,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,61092,9.868063,0.004826,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,61092,9.899032,0.030969,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,61092,9.90018,0.001148,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,61092,9.917993,0.017813,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,50516,9.925974,0.007981,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50516,9.946849,0.020875,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,50516,9.949059,0.00221,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50516,9.96645,0.017391,Abnormal_Traffic
